ubigeo,tipo_municipalidad,clasificacion_mef
80202,DISTRITAL,F
80203,DISTRITAL,F
80204,DISTRITAL,F
80205,DISTRITAL,F
80206,DISTRITAL,F
80207,DISTRITAL,E
80301,PROVINCIAL,B
80302,DISTRITAL,F
80303,DISTRITAL,F
80304,DISTRITAL,G
80305,DISTRITAL,F
80306,DISTRITAL,G
80307,DISTRITAL,F
80308,DISTRITAL,F
80309,DISTRITAL,F
80401,PROVINCIAL,B
80402,DISTRITAL,E
80403,DISTRITAL,F
80404,DISTRITAL,F
80405,DISTRITAL,F
80406,DISTRITAL,G
80407,DISTRITAL,F
80408,DISTRITAL,G
80501,PROVINCIAL,B
80502,DISTRITAL,G
80503,DISTRITAL,G
80504,DISTRITAL,G
80505,DISTRITAL,G
80506,DISTRITAL,F
80507,DISTRITAL,G
80508,DISTRITAL,G
80601,PROVINCIAL,A
80602,DISTRITAL,F
80603,DISTRITAL,F
80604,DISTRITAL,G
80605,DISTRITAL,F
80606,DISTRITAL,F
80607,DISTRITAL,F
80608,DISTRITAL,F
80701,PROVINCIAL,B
80702,DISTRITAL,G
80703,DISTRITAL,G
80704,DISTRITAL,G
80705,DISTRITAL,G
80706,DISTRITAL,G
80707,DISTRITAL,G
80708,DISTRITAL,F
80801,PROVINCIAL,A
80802,DISTRITAL,F
80803,DISTRITAL,G
80804,DISTRITAL,G
80805,DISTRITAL,F
80806,DISTRITAL,G
80807,DISTRITAL,G
80808,DISTRITAL,G
80901,PROVINCIAL,A
80902,DISTRITAL,G
80903,DISTRITAL,F
80904,DISTRITAL,G
80905,DISTRITAL,G
80906,DISTRITAL,G
80907,DISTRITAL,F
80908,DISTRITAL,G
80909,DISTRITAL,G
80910,DISTRITAL,E
80911,DISTRITAL,G
80912,DISTRITAL,F
80913,DISTRITAL,G
80914,DISTRITAL,G
80915,DISTRITAL,G
80916,DISTRITAL,G
80917,DISTRITAL,G
80918,DISTRITAL,G
81001,PROVINCIAL,B
81002,DISTRITAL,F
81003,DISTRITAL,G
81004,DISTRITAL,E
81005,DISTRITAL,F
81006,DISTRITAL,G
81007,DISTRITAL,F
81008,DISTRITAL,E
81009,DISTRITAL,G
81101,PROVINCIAL,B
81102,DISTRITAL,G
81103,DISTRITAL,G
81104,DISTRITAL,G
81105,DISTRITAL,G
81106,DISTRITAL,F
81201,PROVINCIAL,B
81202,DISTRITAL,E
81203,DISTRITAL,E
81204,DISTRITAL,G
81205,DISTRITAL,G
81206,DISTRITAL,G
81207,DISTRITAL,F
81208,DISTRITAL,E
81209,DISTRITAL,G
81210,DISTRITAL,G
81211,DISTRITAL,E
81212,DISTRITAL,G
81301,PROVINCIAL,B
81302,DISTRITAL,F
81303,DISTRITAL,F
81304,DISTRITAL,E
81305,DISTRITAL,G
81306,DISTRITAL,G
81307,DISTRITAL,E
90101,PROVINCIAL,A
90102,DISTRITAL,G
90103,DISTRITAL,G
90104,DISTRITAL,E
90105,DISTRITAL,G
90106,DISTRITAL,F
90107,DISTRITAL,E
90108,DISTRITAL,F
90109,DISTRITAL,F
90110,DISTRITAL,G
90111,DISTRITAL,E
90112,DISTRITAL,F
90113,DISTRITAL,G
90114,DISTRITAL,G
90115,DISTRITAL,F
90116,DISTRITAL,G
90117,DISTRITAL,G
90118,DISTRITAL,D
90119,DISTRITAL,G
90201,PROVINCIAL,B
90202,DISTRITAL,G
90203,DISTRITAL,G
90204,DISTRITAL,F
90205,DISTRITAL,F
90206,DISTRITAL,F
90207,DISTRITAL,F
90208,DISTRITAL,F
90301,PROVINCIAL,B
90302,DISTRITAL,G
90303,DISTRITAL,E
90304,DISTRITAL,F
